thumbnail,title,subtitles,rating,link,price_period,price_currency,price_value,marketplace
https://a0.muscache.com/im/pictures/d1aa297d-9228-478d-86c5-d63498fb9ca3.jpg?im_w=720,Apartment in Friedrichshain,Spacious & Light & Good Transport,4.94,https://www.airbnb.com/rooms/11847541,night,$,94,airbnb
https://a0.muscache.com/im/pictures/miso/Hosting-45711564/original/fb165304-2dcf-4ca0-a337-7e0d10822f18.jpeg?im_w=720,Private room in Neukölln,Wonderful room in Neukölln,5.0,https://www.airbnb.com/rooms/45711564,night,$,74,airbnb
https://a0.muscache.com/im/pictures/198af25f-b20a-4b70-ac6c-a87eaf76f460.jpg?im_w=720,Private room in Kreuzberg,Beautiful apartment in the trendy Kreuzberg neighbourhood,4.61,https://www.airbnb.com/rooms/51995152,night,$,69,airbnb
https://a0.muscache.com/im/pictures/72d83531-a5a2-453d-9537-3c9ef8d3bf50.jpg?im_w=720,Private room in Mitte,Quite room to sleep in busy city,4.86,https://www.airbnb.com/rooms/830575419710014519,night,$,38,airbnb
https://a0.muscache.com/im/pictures/75bb6bad-da4e-4d18-9b7d-f6b8b1b3d3ca.jpg?im_w=720,Private room in Kreuzberg,Different ;-) sunny-  bright and big room !,4.65,https://www.airbnb.com/rooms/16007104,night,$,34,airbnb
https://a0.muscache.com/im/pictures/miso/Hosting-799181725836295737/original/fd88afa9-5230-4254-ad1d-bd26332276d6.jpeg?im_w=720,Private room in Neukölln,Beautiful Altbau in the center of Neukölln,5.0,https://www.airbnb.com/rooms/799181725836295737,night,$,100,airbnb
https://a0.muscache.com/im/pictures/eedb9e5e-28a0-4873-9cd7-4b1bfe851fab.jpg?im_w=720,Private room in Neukölln,Berlin Double Bed Single Family Room,4.83,https://www.airbnb.com/rooms/27574236,night,$,40,airbnb
https://a0.muscache.com/im/pictures/6b8294aa-5b92-46f7-a5a1-4d1cfec4c6c0.jpg?im_w=720,Private room in Mitte,nice room in the center of berlin!,4.8,https://www.airbnb.com/rooms/868206,night,$,41,airbnb
https://a0.muscache.com/im/pictures/314ef7ac-ebb8-45ae-a0d6-a4ddb55c2135.jpg?im_w=720,Apartment in Mitte,Beautiful two room flat in BerlinMitte,4.81,https://www.airbnb.com/rooms/695997251954254445,night,$,107,airbnb
https://a0.muscache.com/im/pictures/e0dab87a-20d4-4958-a272-22aa61b1ec6c.jpg?im_w=720,Private room in Mitte,Small Bedroom,4.67,https://www.airbnb.com/rooms/807131975159748467,night,$,66,airbnb
https://a0.muscache.com/im/pictures/miso/Hosting-816443111615693549/original/35b56c05-7713-435a-8e45-2b9076ebe3ac.jpeg?im_w=720,Private room in Reinickendorf,Coming-Home,4.67,https://www.airbnb.com/rooms/816443111615693549,night,$,63,airbnb
https://a0.muscache.com/im/pictures/9ef741ac-fc73-4cd1-a797-1bf8f51d0462.jpg?im_w=720,Private room in Lichtenberg,Lichtenhain 2  quiet apartment close to Ostkreutz,4.69,https://www.airbnb.com/rooms/35396599,night,$,38,airbnb
https://a0.muscache.com/im/pictures/cbfa7e4d-4ba0-4233-9f3b-75e1601377eb.jpg?im_w=720,Loft in Kreuzberg,Outstanding selfmade rooftop Loft,4.53,https://www.airbnb.com/rooms/9570445,night,$,111,airbnb
https://a0.muscache.com/im/pictures/miso/Hosting-859938925077378542/original/726bcc30-b510-4322-9ce6-ce2ceb8a3a8a.jpeg?im_w=720,Apartment in Charlottenburg,Cosy Space West,,https://www.airbnb.com/rooms/859938925077378542,night,$,100,airbnb
https://a0.muscache.com/im/pictures/25a7298d-d134-4da3-9434-5071fb9969d4.jpg?im_w=720,Apartment in Mitte,Apartments in Hostel am Schäfersee _03,4.67,https://www.airbnb.com/rooms/22802121,night,$,68,airbnb
https://a0.muscache.com/im/pictures/7263166/5b6887e3_original.jpg?im_w=720,Private room in Kreuzberg,Mitten in Berlin,,https://www.airbnb.com/rooms/873627724566328659,night,$,35,airbnb
https://a0.muscache.com/im/pictures/miso/Hosting-2929033/original/f6016d64-e7d2-4dc9-a91d-b3223e444b92.jpeg?im_w=720,Apartment in Friedrichshain,"Bright, Central One-Bedroom",4.82,https://www.airbnb.com/rooms/2929033,night,$,141,airbnb
https://a0.muscache.com/im/pictures/miso/Hosting-5610403/original/225687c3-5ea4-4c8a-883e-3666151f1421.jpeg?im_w=720,Private room in Neukölln,Large Sunny Room with Balcony,4.74,https://www.airbnb.com/rooms/5610403,night,$,99,airbnb
https://a0.muscache.com/im/pictures/miso/Hosting-4362839/original/57fbeb29-7ec5-47d2-a3b8-6662750258e0.jpeg?im_w=720,Private room in Mitte,"Centrally located room, small but cozy",4.82,https://www.airbnb.com/rooms/4362839,night,$,71,airbnb
https://a0.muscache.com/im/pictures/e3df5ca4-9307-450d-b960-879af110aa59.jpg?im_w=720,Vacation home in Treptow-Köpenick,"""Gerostübchen"" in the quiet outskirts of Berlin",4.93,https://www.airbnb.com/rooms/541157805061295727,night,$,50,airbnb
https://a0.muscache.com/im/pictures/miso/Hosting-684491013825440916/original/0cd4a536-40e7-4cd8-af80-57a3b44c6349.jpeg?im_w=720,Private room in Treptow-Köpenick,Cozy room near the airport BER,4.38,https://www.airbnb.com/rooms/684491013825440916,night,$,45,airbnb
https://a0.muscache.com/im/pictures/4875d957-9623-4e8b-9de3-e68c117ab8f5.jpg?im_w=720,Private room in Pankow,"Rooms with air conditioning, roof terrace and private bathroom",4.84,https://www.airbnb.com/rooms/15107151,night,$,82,airbnb
https://a0.muscache.com/im/pictures/aa3b3397-a3a2-4810-8860-330f12fe6fe8.jpg?im_w=720,Condo in Mitte,"Nice condo in a central location. Surrounded by greenery, the large balcony invites you to enjoy a sunny breakfast.
Free parking on the premises; Excellent public transport connections.
Caretaker service included.",4.92,https://www.airbnb.com/rooms/50884931,night,$,96,airbnb
https://a0.muscache.com/im/pictures/miso/Hosting-51466351/original/881b6784-7383-4d51-be28-1f6252b0ea3a.jpeg?im_w=720,Private room in Kreuzberg,bright room in large family apartment,5.0,https://www.airbnb.com/rooms/51466351,night,$,42,airbnb
https://a0.muscache.com/im/pictures/7c93c4b0-603a-4c01-8386-93a259fbb985.jpg?im_w=720,Private room in Kreuzberg,Roof terraces room 1-2 pers. in Kberg am Schlesi,4.92,https://www.airbnb.com/rooms/27622100,night,$,94,airbnb
https://a0.muscache.com/im/pictures/9801c22c-44cb-499f-ab35-8ff6f81ebb66.jpg?im_w=720,Private room in Mitte,"In the middle of Berlin, just 3 mins to Alex!",4.79,https://www.airbnb.com/rooms/11403270,night,$,58,airbnb
https://a0.muscache.com/im/pictures/miso/Hosting-30846121/original/467c5947-0f2b-4144-a4ca-6da0fe90d383.jpeg?im_w=720,Hotel room in Lichtenberg,Serviced Apartment - Studio in Karlshorst,4.67,https://www.airbnb.com/rooms/30846121,night,$,86,airbnb
