title,isAd,location,paymentOptions,highlightedAmenities,link,snippet_text,snippet_title,price_withTaxesAndCharges,price_currency,price_value,rating_score,rating_reviews,marketplace
Nena Apartments Moritzplatz,False,Entire apartment,,,https://www.hotels.com/ho2159049600/nena-apartments-moritzplatz-berlin-germany/,,,102,$,91,8.6,19.0,hotelscom
numa I Nook Rooms & Apartments,False,Mitte,,,https://www.hotels.com/ho545854/numa-nook-rooms-apartments-berlin-germany/,,,162,$,145,9.0,647.0,hotelscom
Citadines Kurfürstendamm Berlin,False,Wilmersdorf,,Kitchen,https://www.hotels.com/ho206572/citadines-kurfurstendamm-berlin-berlin-germany/,,,166,$,148,8.6,1116.0,hotelscom
The Faces Berlin,False,Berlin,,Kitchen,https://www.hotels.com/ho2449334688/the-faces-berlin-berlin-germany/,,,156,$,140,7.6,9.0,hotelscom
AMC Hotel - Schöneberg,False,Schöneberg,Fully refundable,,https://www.hotels.com/ho490638/amc-hotel-schoneberg-berlin-germany/,,,136,$,122,8.2,9.0,hotelscom
HighPark by Palmira,False,Tiergarten,Fully refundable,Kitchen,https://www.hotels.com/ho924772416/highpark-by-palmira-berlin-germany/,,,202,$,181,9.2,59.0,hotelscom
Gästehaus Lazarus,False,Berlin,,,https://www.hotels.com/ho1116569664/gastehaus-lazarus-berlin-germany/,,,145,$,130,7.4,12.0,hotelscom
Gästehaus Lazarus,False,Berlin,,,https://www.hotels.com/ho1116569664/gastehaus-lazarus-berlin-germany/,,,145,$,130,7.4,12.0,hotelscom
numa | Sketch Rooms & Apartments,False,Friedrichshain,,,https://www.hotels.com/ho1966405760/numa-sketch-rooms-apartments-berlin-germany/,,,160,$,143,8.4,26.0,hotelscom
The Rix Studios & Suites,False,Neukölln,,,https://www.hotels.com/ho2918374688/the-rix-studios-suites-berlin-germany/,,,114,$,102,8.0,1.0,hotelscom
Nena Apartments Metropolpark Berlin -Mitte,False,Entire apartment,,,https://www.hotels.com/ho1145781376/nena-apartments-metropolpark-berlin-mitte-berlin-germany/,,,175,$,156,8.4,107.0,hotelscom
The Mandala Suites Berlin,False,Mitte,Fully refundable,Kitchen,https://www.hotels.com/ho130537/the-mandala-suites-berlin-berlin-germany/,,,219,$,196,9.2,830.0,hotelscom
limehome Berlin Müllerstraße,False,Wedding,,Kitchen,https://www.hotels.com/ho2444482336/limehome-berlin-mullerstra-e-berlin-germany/,,,144,$,122,9.2,18.0,hotelscom
Hotel Residenz Begaswinkel,False,Tiergarten,,,https://www.hotels.com/ho459652/hotel-residenz-begaswinkel-berlin-germany/,,,171,$,153,8.0,68.0,hotelscom
ArtHotel Connection,False,Berlin,,,https://www.hotels.com/ho443177/arthotel-connection-berlin-germany/,,,199,$,177,9.0,138.0,hotelscom
Nena Apartments Bergmannkiez,False,Entire apartment,,,https://www.hotels.com/ho1013146784/nena-apartments-bergmannkiez-berlin-germany/,,,112,$,100,8.2,15.0,hotelscom
Lux 11 Berlin Mitte,False,Berlin,,Kitchen,https://www.hotels.com/ho109411/lux-11-berlin-mitte-berlin-germany/,,,190,$,170,8.6,787.0,hotelscom
Mondrian Suites Berlin Checkpoint Charlie,False,Kreuzberg,,Kitchen,https://www.hotels.com/ho429185/mondrian-suites-berlin-checkpoint-charlie-berlin-germany/,,,122,$,109,8.6,1554.0,hotelscom
Pension LEVI,False,Berlin,,,https://www.hotels.com/ho1108774720/pension-levi-berlin-germany/,,,93,$,83,7.4,3.0,hotelscom
Pension Odin,False,Berlin,Fully refundable,,https://www.hotels.com/ho459272/pension-odin-berlin-germany/,,,123,$,110,7.2,40.0,hotelscom
Parkhotel Marzahn,False,Berlin,,,https://www.hotels.com/ho433228/parkhotel-marzahn-berlin-germany/,,,148,$,133,8.8,54.0,hotelscom
Bornholmer Hof,False,Prenzlauer Berg,,,https://www.hotels.com/ho391317/bornholmer-hof-berlin-germany/,,,150,$,134,7.4,51.0,hotelscom
City Hotel Gotland,False,Kreuzberg,,Breakfast included,https://www.hotels.com/ho303590/city-hotel-gotland-berlin-germany/,,,146,$,130,6.2,117.0,hotelscom
Hotel Pension Arche,False,Berlin,,,https://www.hotels.com/ho299819/hotel-pension-arche-berlin-germany/,,,102,$,91,7.0,159.0,hotelscom
Kallmeyer,False,Berlin,Fully refundable,Breakfast included,https://www.hotels.com/ho319500/kallmeyer-berlin-germany/,,,109,$,98,6.8,78.0,hotelscom
Hotel-Pension Funk,False,Berlin,Fully refundable,,https://www.hotels.com/ho458549/hotel-pension-funk-berlin-germany/,,,137,$,122,8.2,56.0,hotelscom
Pension Freiraum Guesthouse Berlin,False,Prenzlauer Berg,Fully refundable,,https://www.hotels.com/ho590720/pension-guesthouse-berlin-berlin-germany/,,,138,$,123,7.6,4.0,hotelscom
Hotel Novalis,False,Mitte,Fully refundable,,https://www.hotels.com/ho294209/hotel-novalis-berlin-germany/,,,90,$,80,7.4,104.0,hotelscom
Goodman's Living,False,Berlin,,Kitchen,https://www.hotels.com/ho481518/goodman-s-living-berlin-germany/,,,111,$,99,9.0,960.0,hotelscom
The Circus Apartments,False,Mitte,,Kitchen,https://www.hotels.com/ho435384/the-circus-apartments-berlin-germany/,,,323,$,288,9.8,49.0,hotelscom
